"id","category"
"WOS:001201440500001","model optimization"
"85141560710","lightweight adapters"
"85149830097","lightweight adapters"
"85163192934","knowledge distillation"
"85171293616","fine-tuning"
"85173628307","model optimization"
"85174405752","model optimization"
"85175422999","lightweight adapters"
"85175636561","fine-tuning"
"85177038014","model optimization"
"85177812008","fine-tuning"
"85182344516","knowledge distillation"
"85182850660","model optimization"
"85183295414","lightweight adapters"
"85183311449","lightweight adapters"
"85184797486","model optimization"
"85184802321","lightweight adapters"
"85185484368","lightweight adapters"
"85186339865","fine-tuning"
"85188662450","lightweight adapters"
"85189473899","fine-tuning"
"85190531213","lightweight adapters"
"85168712418","lightweight adapters"
"85194195020","model optimization"
"85184978959","knowledge graph"
"85188087504","fine-tuning"
"85184341863","lightweight adapters"
"85191819696","lightweight adapters"
"85182366958","knowledge distillation"
"85194471367","lightweight adapters"
"85192185865","model optimization"
"85189491269","model optimization"
"85190687933","lightweight adapters"
"85170635633","lightweight adapters"
"85184139726","fine-tuning"
"85189641791","fine-tuning"
"85172340035","model optimization"
"85177751148","model optimization"
"85189755179","knowledge distillation"
"85183575231","fine-tuning"
"85192572539","model optimization"
"85183471757","fine-tuning"
"85184808429","lightweight adapters"
"85174702637","fine-tuning"
"85192059893","model optimization"
